coach,team,age_group,practices_planned,bench_mode_opened,drill_swaps,practices_completed,parent_recaps_viewed,minutes_saved,would_pay,score_1_to_10,top_issue
Coach 1,,,,,,,,,,,
Coach 2,,,,,,,,,,,
Coach 3,,,,,,,,,,,
Coach 4,,,,,,,,,,,
Coach 5,,,,,,,,,,,
